.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\2351479551.jpg| A boy wearing blue shorts is doing a back flip in the air under a tree .,,,,,,,,,| The boy wearing blue pants is in the midst of a back flip .,,,,,,,,,| a young man jumping a back flip off of a concrete wall .,,,,,,,,,| Man with blue pants flipping in the air .,,,,,,,,,| A man in midair doing a flip .,,,,,,,,,
.\datasets\images\2352684051.jpg| An elderly woman sits on the sidewalk against a dirty wall with her legs crossed and her hands in her lap .,,,,,,,,,| A person wearing a shirt with a rainbow on it sits on a sidewalk with legs crossed .,,,,,,,,,| A lady in an orange shirt sits alone on a sidewalk .,,,,,,,,,| A person in a yellow shirt sits on a sidewalk .,,,,,,,,,| a old lady sitting on the footpath .,,,,,,,,,
.\datasets\images\2354516058.jpg| An older women wearing a red and gray printed sweater is standing in her kitchen stirring a stew .,,,,,,,,,| an older woman in a sweater stirs a pot of food in the kitchen .,,,,,,,,,| An older lady in a gray and red sweater is cooking on a meal .,,,,,,,,,| A woman is stirring a pot of stew that is cooking .,,,,,,,,,| A woman is preparing a soup on a stove .,,,,,,,,,
.\datasets\images\2354792215.jpg| The boy in the white shirt dribbles the soccer ball away from the yellow and blue team .,,,,,,,,,| Boy in a black and white soccer uniform kicking the ball with other players nearby .,,,,,,,,,| There are five young boys on a soccer field running and playing soccer .,,,,,,,,,| Children playing soccer , one in the process of kicking the ball .,,,,,,,,| Two young soccer teams competing in a game .,,,,,,,,,
.\datasets\images\2354829523.jpg| A woman wearing a blue and white uniform with a white and blue hat on with her mouth open near others dressed the same .,,,,,,,,,| A young woman with a white and blue hat and uniform yells to others dressed the same .,,,,,,,,,| Woman wearing a blue shirt with a white vest and a white cap talking while marching .,,,,,,,,,| Group of women in blue and white uniforms , in profile , facing offstage .,,,,,,,| A group of women in matching uniforms , one of which is speaking .,,,,,,,,
.\datasets\images\2355093195.jpg| Water from the left splashing over a man with a white helmet .,,,,,,,,,| Two men are holding onto a rope climbing up forceful water .,,,,,,,,,| A couple guys splash through water wearing hard hats .,,,,,,,,,| Two people are getting soaked by a waterfall .,,,,,,,,,| two men grapple up a waterfall .,,,,,,,,,
.\datasets\images\2355339096.jpg| A female dressed in black is holding a walking stick in the far right of an image taken inside a building while 4 males watch her and read from a script .,,,,,,,,,| A few people are sitting down watching a woman present something in a classroom as an gentleman looks reluctant in the background .,,,,,,,,,| There is a performance with a man in a t-shirt and jeans with a woman in all black while an audience watches and laughs .,,,,,,,,,| A man and a woman are standing in front of 3 men with instruments , and one of the men in the group is smiling .,,,,,,,,| A woman dressed in jeans and a shirt , auditioning for a play , while a man waits for his turn .,,,,,,,
.\datasets\images\2356153548.jpg| One woman is sitting on a bench waiting for the subway , while three other women are standing .,,,,,,,,| Four female passengers wait for their train , one is sitting and the rest are standing .,,,,,,,,| Four women wait with their luggage on a train platform .,,,,,,,,,| A group of people waiting for the bus .,,,,,,,,,| women waiting to get on the subway .,,,,,,,,,
.\datasets\images\2357238936.jpg| A boy with dark hair is submerged in the water so that one can only see his head .,,,,,,,,,| a boy in the water only sticking his head out of the water and smiling .,,,,,,,,,| A boy swimming in a body of water while smiling .,,,,,,,,,| A smiling boy in the water .,,,,,,,,,| A boy is swimming in water .,,,,,,,,,
.\datasets\images\2358561039.jpg| The dogs are pulling a man on a type of bike , through the snow .,,,,,,,,| a froup of sled dogs pulling a man wearing an orange vest .,,,,,,,,,| Three dogs pulling a man on a bicycle through the snow .,,,,,,,,,| A three dog sled team pulls an unusual tricycle sled .,,,,,,,,,| Several dogs carry a man with a helmet through snow .,,,,,,,,,
.\datasets\images\2359499627.jpg| Two men wearing dingy blue clothing are doing their job on a boat .,,,,,,,,,| Two guys in blue jumpsuits sit on a boat with lots of equipment .,,,,,,,,,| Two men in work clothes aboard a ship with a lot of rigging .,,,,,,,,,| Two men in blue clothing sit on a boat .,,,,,,,,,| Two men are riding in a work boat .,,,,,,,,,
.\datasets\images\235982200.jpg| Three workers hold buckets and crouch on beams with a view of a town below them .,,,,,,,,,| Two men are on what looks to be a boat fishing in Japan or possibly China .,,,,,,,,,| Three men are sitting on metal scaffolding .,,,,,,,,,| Three people are painting a large post .,,,,,,,,,| A group of people sit down outside .,,,,,,,,,
.\datasets\images\236095034.jpg| The man is scaling up a large boulder with people spotting underneath .,,,,,,,,,| A man rock climbs while spotters wait below .,,,,,,,,,| A man is rock climbing with spotters below .,,,,,,,,,| People are climbing a rock face .,,,,,,,,,| A man climbing a rock-face .,,,,,,,,,
.\datasets\images\2361367949.jpg| Two young children wearing warm coats and hoods walk hand in hand in the street in front of a building with one small bit of red graffiti while a woman looks in their direction .,,,,,,,,,| A boy walks hand-in-hand with his sister past the woman in the long dark coat while graffiti drips on the wall .,,,,,,,,,| A small boy and girl , wearing winter clothes , are holding hands and walking down the street .,,,,,,,| Two small kids holding hands while walking in a street .,,,,,,,,,| Two young siblings walk while holding hands .,,,,,,,,,
.\datasets\images\236223192.jpg| Six men in red t-shirts with white stars on the back of them are holding drums and drumsticks .,,,,,,,,,| A group of men in red shirts play instruments together .,,,,,,,,,| A group of dark-haired men in red t-shirt plays drums .,,,,,,,,,| A group of men dressed in red are playing the drums .,,,,,,,,,| A group of men are playing drums .,,,,,,,,,
.\datasets\images\2363006088.jpg| a young boy wearing white shoes chasing after several chickens,,,,,,,,,| A young boy runs after some chickens .,,,,,,,,,| A young child runs with chickens .,,,,,,,,,| A little boy chases chickens .,,,,,,,,,| a young boy chases chickens .,,,,,,,,,
.\datasets\images\2364942064.jpg| A woman dressed in black blouse standing and speaking into a long microphone .,,,,,,,,,| A middle-aged women in a black shirt speaks into a microphone .,,,,,,,,,| A woman speaking in a microphone doing hand gestures .,,,,,,,,,| A woman wearing a black shirt giving a lecture .,,,,,,,,,| A woman in a black shirt giving a speech .,,,,,,,,,
.\datasets\images\2365499852.jpg| A four member band stands on stage as a man adjusts their equipment .,,,,,,,,,| A band plays on stage surrounded by audio equipment .,,,,,,,,,| Musical band in red light getting ready to perform .,,,,,,,,,| Four women are on stage singing .,,,,,,,,,| A band plays on a small stage .,,,,,,,,,
.\datasets\images\2366643786.jpg| Someone is playing hopscotch on a chalked out grid on the ground .,,,,,,,,,| Closeup of a pair of feet in mid jump while playing hopscotch .,,,,,,,,,| The legs of a child playing hopscotch .,,,,,,,,,| A child in denim playing hopscotch .,,,,,,,,,| The kid is playing hopscotch .,,,,,,,,,
.\datasets\images\2367318629.jpg| a few small children drapped with black cloaks and black hats with red trim .,,,,,,,,,| Four children in black and red hats and black clothes perform .,,,,,,,,,| Some children in black robes and black and red hats .,,,,,,,,,| Five children dressed in black cloaks and hats .,,,,,,,,,| five girls dressed alike,,,,,,,,,
.\datasets\images\2367949659.jpg| A young boy in a green shirt and blue pants is playing with a blue toy train on a wooden track .,,,,,,,,,| A young boy in a green shirt playing with a miniature train on an elevated train track .,,,,,,,,,| A small boy playing with a blue toy train on wooden toy train tracks .,,,,,,,,,| A toddler plays with his wooden toy train set .,,,,,,,,,| The young boy was playing with his train set .,,,,,,,,,
.\datasets\images\2370221025.jpg| A man wearing a green jacket is holding onto a baby in an orange bonnet .,,,,,,,,,| A small baby in winter clothing is being held upright to take a picture .,,,,,,,,,| A small child in winter gear is being held steady by an adult .,,,,,,,,,| A toddler girl wears a jacket and stands with a man .,,,,,,,,,| The small child is wearing winter clothes and a hat .,,,,,,,,,
.\datasets\images\2370275359.jpg| Unhappy-looking people standing outside in a tightly-packed line against a yellow fence .,,,,,,,,,| A group of people huddled together behind a yellow gate .,,,,,,,,,| People in a crowd behind a yellow metal gate .,,,,,,,,,| A group of people behind yellow gates .,,,,,,,,,| A woman in a red hat waiting in line .,,,,,,,,,
.\datasets\images\2371201464.jpg| A girl in a red shirt and plaid hat , and a boy in a black sweatshirt and hat are in a playground , touching a blue seahorse .,,,,,,,| Two young children are playing with a sit-atop seahorse in a playground with an adult .,,,,,,,,,| Two young children are in a park , playing with a horse ride .,,,,,,,,| Two children are playing on a playground .,,,,,,,,,| Children playing on a playground .,,,,,,,,,
.\datasets\images\2371988553.jpg| A man in blue pants and heavy work boots is cleaning white confetti from a street paved with bricks .,,,,,,,,,| A man in a work uniform using a tool to remove ice and snow .,,,,,,,,,| Man cleaning the street next to a car .,,,,,,,,,| A street washer washing the street .,,,,,,,,,| A worker cleaning a brick street .,,,,,,,,,
.\datasets\images\2372262128.jpg| People in front of waterfront , 3 people are sitting down facing each other as a young boy runs and 2 people walk towards the water .,,,,,,,,| A small group of three enjoy the view of the water as a small boy wanders off and two companions enjoy a walk along the shoreline .,,,,,,,,,| Six people by body of water , all in jackets , three sitting on the dandelion-strewn ground .,,,,,,,| Three people are sitting on green grass and three people are walking beside a body of water .,,,,,,,,,| A group of people sitting by a lake .,,,,,,,,,
.\datasets\images\237277765.jpg| The girl in blue shorts is sitting on a broken tree stump .,,,,,,,,,| A girl is sitting on a log in the middle of some trees .,,,,,,,,,| A little girl squats on a tree stump in the woods .,,,,,,,,,| A young girl sits on a tree stump in the woods .,,,,,,,,,| The girl is sitting in the woods .,,,,,,,,,
.\datasets\images\2373234213.jpg| The little boy jumps over another little boy on the trampoline .,,,,,,,,,| One boy jumps over another boy on a trampoline .,,,,,,,,,| A boy jumping over another boy on a trampoline .,,,,,,,,,| A boy jumps over another boy on a trampoline .,,,,,,,,,| Two boys jumping on a trampoline .,,,,,,,,,
.\datasets\images\2373293667.jpg| A man wearing glasses and a woman wearing a black hat and dark sunglasses sit together on a subway train .,,,,,,,,,| Two men sitting in a bus the one guy is wearing eyeglass and the other guy is wearing a sungalsses,,,,,,,,,| A man in dark sunglasses and a black hat is sitting on a bus next to another person .,,,,,,,,,| A man with a black hat is looking pensively out the window of public transportation .,,,,,,,,,| Two people are sitting close together on a bus with a scratched window .,,,,,,,,,
.\datasets\images\2373790865.jpg| A woman in a black coat and carrying a yellow shopping bag is looking on while an older woman is pushing a wheeled shopping cart in a city .,,,,,,,,,| An old woman in a long coat with a small cart crosses the street while another woman smoking a cigarette watches .,,,,,,,,,| A woman in black holds a cigarette and a shopping bag , while an older woman crosses the street .,,,,,,,,| A woman is rolling her grocery cart across the street .,,,,,,,,,| A woman pushing a cart strolls through a crosswalk .,,,,,,,,,
.\datasets\images\2374179071.jpg| A man is standing on some rocks and casting a fishing line into the ocean,,,,,,,,,| A man looks at the sunset and the ocean , seen in silhouette .,,,,,,,,| a lone man casting a fishing line into the water at sunset .,,,,,,,,,| Person fishing in large body of water with low sunlight .,,,,,,,,,| A man is fishing in the ocean at dusk .,,,,,,,,,
.\datasets\images\2374319960.jpg| A blond woman kneels on the floor as she works on a piece of pottery on a pottery wheel .,,,,,,,,,| A blond woman in an apron with cherries on it is spinning a pot on a potter 's wheel .,,,,,,,,,| A woman in a white T-shirt and red pepper apron working at a potters wheel .,,,,,,,,,| A woman is making pottery using her potter 's wheel .,,,,,,,,,| A woman is forming clay on a pottery well .,,,,,,,,,
.\datasets\images\2378149488.jpg| Dark-haired child wearing jacket and paper crown while sitting in shopping cart .,,,,,,,,,| A young boy is wearing a paper crown while sitting in a grocery cart .,,,,,,,,,| A young boy in a paper crown is sitting in a shopping basket .,,,,,,,,,| Kid wearing a paper crown sitting in a shopping cart .,,,,,,,,,| Boy with a red crown in a shopping cart .,,,,,,,,,
.\datasets\images\2378356400.jpg| A woman in a checked coat is taking a photograph of a little girl sitting on a fake tiger .,,,,,,,,,| A little girl on a bouncey playground animal sits while a woman takes her picture .,,,,,,,,,| The lady takes a picture of the little girl on the ride .,,,,,,,,,| A woman stands next to a child who is riding on a toy .,,,,,,,,,| A woman and a child .,,,,,,,,,
.\datasets\images\2378544134.jpg| A dog with a black and brown marbled coat scowls at the camera while a young woman in a black suit walks in the background .,,,,,,,,,| A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog,,,,,,,,,| A brown dog pays no attention to a young woman dressed in black passing nearby .,,,,,,,,,| A brown dog standing at the bottom of stone , outdoor stairs .,,,,,,,,| A woman walking up some stairs .,,,,,,,,,
.\datasets\images\2379737358.jpg| A mane wearing an odd costume consisting of what appears to be Tinker Toy components is strapped into a large wheel that also appears to be made of Tinker Toys .,,,,,,,,,| A man dressed in a colorful costume walking in a giant wheel in front of a crowd .,,,,,,,,,| A man in a very colorful outfit is using some whimsical contraption,,,,,,,,,| A man dressed as something trying to entertain people .,,,,,,,,,| A guy wearing a costume with a blue striped shirt .,,,,,,,,,
.\datasets\images\2379795688.jpg| A group of people trying to sell handbags , accessories , and clothing .,,,,,,,| People sitting and walking through a clothing store .,,,,,,,,,| People are sitting on stools in a clothing store .,,,,,,,,,| People are sitting at their vending stands .,,,,,,,,,| People sitting down in a clothing store .,,,,,,,,,
.\datasets\images\238177432.jpg| An Asian man in a green uniform shirt with a white speckled headband is using a torch to cook food in a restaurant .,,,,,,,,,| A man , wearing a green shirt , is cooking food in a restaurant .,,,,,,,| Two men dressed in green are preparing food in a restaurant .,,,,,,,,,| A check with a green shirt uses a blowtorch on some food .,,,,,,,,,| Two men cooking fast food .,,,,,,,,,
.\datasets\images\2382000085.jpg| A person standing on a speed boat in the middle of a bay , other boats and personal yachts are all docked around .,,,,,,,,| A man is standing up on a moving boat in front of a hotel .,,,,,,,,,| A small boat in the reflection of a large building .,,,,,,,,,| A black man stands on a moving boat in the harbor .,,,,,,,,,| A person is riding in a boat on a lake .,,,,,,,,,
.\datasets\images\238269802.jpg| A young boy in a red and white shirt is squatting on the ground , surrounded by bushes .,,,,,,,,| A little boy in a red and white-striped shirt and shorts sits among large plants .,,,,,,,,,| A boy crouches with his head in his hands beside some greenery .,,,,,,,,,| A small child is sitting on a stump in a forest clearing .,,,,,,,,,| A young boy squats among some bushes .,,,,,,,,,
.\datasets\images\2382950929.jpg| A boy in jeans is sitting on rocks while an older women in a red top holding a straw hat stands behind him on the rocks which is next to a lake .,,,,,,,,,| A boy ties his shoe while a woman carrying straw hats looks on atop a rock in front of a body of water .,,,,,,,,,| A woman and her son sitting on top of a big rock looking tired .,,,,,,,,,| A boy and a woman are on top of large rocks at sunset .,,,,,,,,,| People standing on rocks by a river .,,,,,,,,,
.\datasets\images\2384626662.jpg| A boy in an orange shirt and red hat is standing next to a girl with a white shirt and blue pants in the sand next to the ocean .,,,,,,,,,| A child and a grownup , each wearing hats , play by the ocean .,,,,,,,| Two children are running towards the ocean on a beach .,,,,,,,,,| A woman and boy playing on a beach .,,,,,,,,,| Two children on the beach .,,,,,,,,,
.\datasets\images\2389107995.jpg| The black dog gets soaked as it plays in the water .,,,,,,,,,| a black dog swimming through a river .,,,,,,,,,| A black dog swims through the water .,,,,,,,,,| The dog is swimming in the water .,,,,,,,,,| Black dog swimming in water .,,,,,,,,,
.\datasets\images\2390134107.jpg| Several men in matching yellow shirts are standing by some sort of frame .,,,,,,,,,| Three men in yellow shirts are riding on top of a vehicle .,,,,,,,,,| Three men in yellow shirts stand behind a white railing .,,,,,,,,,| Three men in yellow shirts work outside a restaurant .,,,,,,,,,| Three guys working in yellow shirts .,,,,,,,,,
.\datasets\images\2390400553.jpg| A man wearing a blue hooded sweatshirt hangs from a window pulley up in the air while next to a white building .,,,,,,,,,| A window washer dressed in blue overalls is suspended high in the air washing windows .,,,,,,,,,| A man on a scaffold hanging by a rope reaches out to a ledge or window .,,,,,,,,,| A window washer dressed in black hangs outside of a building .,,,,,,,,,| A man is lowered on a pulley in front of a building .,,,,,,,,,
.\datasets\images\2391094555.jpg| A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival .,,,,,,,,,| A man with a sleeveless black vest and a black cowboy hat is talking to another man .,,,,,,,,,| a man wearing leather pants , a leather vest and a cowboy hat is standing here .,,,,,,,,| The man is dressed in all black and has a tattoo on his left arm .,,,,,,,,,| A couple of men are standing outside a tent .,,,,,,,,,
.\datasets\images\239175477.jpg| Several young Asian guests at a seaside wedding , including two bridesmaids in pink dresses , wait in anticipation as the bride tosses her bouquet .,,,,,,,| A woman in a bridal gown holds a bouquet of flowers in the air as a group of women watch with the ocean in the background .,,,,,,,,,| A wedding party scene with the bride throwing the bouquet of flowers to onlooking women .,,,,,,,,,| A happy newlywed woman , surrounded by friends and family , has a bouquet of flowers .,,,,,,,| A bride getting ready to throw her bouquet to a group of women .,,,,,,,,,
.\datasets\images\2391883944.jpg| Two men are standing in a room full of unmade beds .,,,,,,,,,| Two men are in a room with four visible beds .,,,,,,,,,| Two men in a room with yellow empty beds .,,,,,,,,,| Two men standing in a sleeping area .,,,,,,,,,| Two men in a room with many beds .,,,,,,,,,
.\datasets\images\2392928516.jpg| A woman wearing a tan overcoat and black boots is walking down the street while carrying a white bag over her right shoulder .,,,,,,,,,| A woman in a mustard dress with a white purse is walking down the street in front of a brick building .,,,,,,,,,| Lady in yellow turning corner of a sidewalk .,,,,,,,,,| A woman walking on street with white purse .,,,,,,,,,| A woman walking down a sidewalk .,,,,,,,,,
.\datasets\images\2393059551.jpg| A man is standing inside a building under construction filled with bricks and various tools .,,,,,,,,,| Two people work construction on the inside of a house .,,,,,,,,,| Man standing inside a room under construction .,,,,,,,,,| A house is in the middle of construction .,,,,,,,,,| Construction on the inside of a house .,,,,,,,,,
.\datasets\images\2393196444.jpg| A girl with a toboggan and sunglasses smiles with her friend in the background as they do crafts .,,,,,,,,,| A boy wearing a brown shirt and hat sits on a box next to a girl in front of a store .,,,,,,,,,| Ther are two young ladies sitting on crates with big smiles .,,,,,,,,,| The two seated girls smile towards the camera .,,,,,,,,,| Some teenagers smile from an outdoor table .,,,,,,,,,
.\datasets\images\2393924525.jpg| A woman dressed in a blue tennis outfit is returning a hit with her tennis racket,,,,,,,,,| A furocious female tennis player about to hit a tennis ball in the air .,,,,,,,,,| A woman in blue hits a tennis ball in a tennis match .,,,,,,,,,| Woman playing tennis and hitting the ball .,,,,,,,,,| A woman playing tennis .,,,,,,,,,
.\datasets\images\239453674.jpg| A bald policeman is walking with a German shepherd dog by a metal crowd control barrier .,,,,,,,,,| A policeman walks away from a gate with a large brown and black dog .,,,,,,,,,| An officer and dog are walking in front of a queue of people .,,,,,,,,,| The policeman walks with his German shepherd .,,,,,,,,,| A policeman is next to his German shepherd .,,,,,,,,,
.\datasets\images\2396034865.jpg| Two happy looking children quickly move towards the camera away from their desert tent shanty camp .,,,,,,,,,| Two children , running toward the photographer , with a dilapidated tents in the background .,,,,,,,| Two young children running towards the camera in a poverty stricken dirt covered area .,,,,,,,,,| Two children , a boy and a girl , running across the dirt .,,,,,,,| Two children run through a dirt field behind some tents .,,,,,,,,,
.\datasets\images\2396100671.jpg| A young boy sits on his bike wearing a dragon costume .,,,,,,,,,| A child wearing a costume rides a bike in winter .,,,,,,,,,| A little boy on bike wearing dragon costume,,,,,,,,,| A boy in a costume is sitting on a bike .,,,,,,,,,| A child in a dragon costume on a bike .,,,,,,,,,
.\datasets\images\239720301.jpg| A man wearing a cowboy hat standing next to a trailer in between very tall buildings at sunset .,,,,,,,,,| People walking in a city on a sidewalk while a puss passes them by .,,,,,,,,,| A man in a cowboy hat walks down the street at sunset .,,,,,,,,,| A man in suit is walking down a crowded street .,,,,,,,,,| Cowboys work on their trailer at sundown .,,,,,,,,,
.\datasets\images\2397886291.jpg| A man and woman of African ethnicity sitting on a city sidewalk bench with a bag of groceries and pink , heart-shaped balloon .,,,,,,,,| Two people sitting on a bench in a city street with a heart shaped balloon in hand .,,,,,,,,,| Two grownups are waiting for the bus to arrive on a cold day .,,,,,,,,,| Two people in winter clothing sit on a bus stop bench .,,,,,,,,,| Two people are sitting at a bus bench .,,,,,,,,,
.\datasets\images\2398922618.jpg| Several military men surrounding women who are sitting on the ground with flags .,,,,,,,,,| A group of people holding flags and signs in front of a building .,,,,,,,,,| A group of police officers surround peaceful protesters .,,,,,,,,,| people sitting and standing outside .,,,,,,,,,| Protesters surrounded by police .,,,,,,,,,
.\datasets\images\2399674240.jpg| A woman wearing a gray jacket and visibly laughing is seated next to a woman who is wearing a dark blue sweater and is smirking .,,,,,,,,,| Two women wearing glasses one is laughing and one is smiling .,,,,,,,,,| Two women smiling and laughing that are wearing glasses .,,,,,,,,,| Two young girls with glasses laughing together .,,,,,,,,,| Sisters laughing about something ridiculous .,,,,,,,,,
.\datasets\images\2400461120.jpg| A woman is wearing a white dress in a store that has some decals on the outside , and is in the middle of two other stores , one that says welcome , and one that 's called Largo .,,,,,,| A woman is standing near three stores , two have beautiful artwork and the other store has Largo written on it .,,,,,,,,| A little girl with a white dress is standing under the doorway of a store .,,,,,,,,,| A storefront with poor artist rendition of street art .,,,,,,,,,| A girl is standing in a store next to other stores .,,,,,,,,,
.\datasets\images\2400768851.jpg| A little boy is sitting on the edge of the pool and eating a fruit .,,,,,,,,,| A young boy is sitting by a pool with an apple in his mouth .,,,,,,,,,| A child in green shorts is eating near a swimming pool .,,,,,,,,,| The young boy by the pool is eating an apple .,,,,,,,,,| A little boy next to a pool .,,,,,,,,,
.\datasets\images\2401027304.jpg| A man is leaning on his knee taking a photograph on a gold course , with a large group of people standing in an area behind him .,,,,,,,,| A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background .,,,,,,,,,| A man in a blue shirt taking a photo at a golf tournament .,,,,,,,,,| A man is taking a picture at a golf course .,,,,,,,,,| A photographer at work at a golf event .,,,,,,,,,
.\datasets\images\2401947932.jpg| Two males are riding an elephant throw a path from a river .,,,,,,,,,| Two kids are having an elephant ride along a river .,,,,,,,,,| Two people riding an elephant through a river .,,,,,,,,,| A boy and a man cross a river on an elephant .,,,,,,,,,| A man and child ride an elephant .,,,,,,,,,
.\datasets\images\2402088539.jpg| An individual in blue pants is standing on a step ladder while two others look in the same direction as the man on the ladder .,,,,,,,,,| A boy on a step ladder between a man and a woman looking at something .,,,,,,,,,| Three people with their back turned are standing inside a building .,,,,,,,,,| A cameraman in blue pants stands on a ladder .,,,,,,,,,| A man is standing on a step stool .,,,,,,,,,
.\datasets\images\2402462857.jpg| The white and brown dog stands in front of the woods with its tongue hanging out .,,,,,,,,,| Brown and cream dog with tongue out in front of grassy forest,,,,,,,,,| A black and white dog with its tongue out is walking .,,,,,,,,,| A dog is standing on a footpath in front of a tree .,,,,,,,,,| A dog pants while standing in the woods .,,,,,,,,,
.\datasets\images\2402793046.jpg| A boy wearing climbing gear climbs by a wooden pole .,,,,,,,,,| A small child climbs ropes hung near a large pole .,,,,,,,,,| The boy is climbing up a rope ladder .,,,,,,,,,| A boy climbs a rigging on a boat .,,,,,,,,,| A boy climbs a sailboat mast .,,,,,,,,,
.\datasets\images\2404406118.jpg| A man in a green coat crossing the street with graffiti in the background .,,,,,,,,,| A man in a coat is walking across a city street during a snowstorm .,,,,,,,,,| A man is crossing a street which is lined by a wall of graffiti .,,,,,,,,,| A man is walking across the street while it is snowing .,,,,,,,,,| Man walking across the street in the snow .,,,,,,,,,
.\datasets\images\2404488732.jpg| A brown dog runs in a field while its ears fly to the sides .,,,,,,,,,| A gray dog with short hair running toward the camera .,,,,,,,,,| Brown dog with mouth open and ears in air running .,,,,,,,,,| A brown dog is running outside .,,,,,,,,,| A brown dog runs in a field .,,,,,,,,,
.\datasets\images\2405740253.jpg| A man in sunglasses , a red hard hat , black t-shirt and brown jacket holds his fist in the air in front of a large crowd .,,,,,,,| A man wearing a helmet has his hand up in the air and is shouting in a similar way the crowd behind his doing .,,,,,,,,,| A man in a red hard hat yelling while in a crowd of people .,,,,,,,,,| A man chanting with a raised fist wearing a hat and jeans .,,,,,,,,,| A man is protesting in a hard hat .,,,,,,,,,
.\datasets\images\240583223.jpg| The yellow dog is running on the dirt road .,,,,,,,,,| A yellow dog running down a sandy path .,,,,,,,,,| A brown dog is running on a dirt path .,,,,,,,,,| A dog is running down a dirt path .,,,,,,,,,| A running golden retriever,,,,,,,,,
.\datasets\images\2407091303.jpg| A little boy stands wide-legged , each foot on each side of the tube slide .,,,,,,,,| A little boy wearing a red shirt is standing on a slide .,,,,,,,,,| A young boy climbing in a playhouse,,,,,,,,,| A child plays at a playground .,,,,,,,,,| Boy on playground equipment,,,,,,,,,
.\datasets\images\2408570692.jpg| A woman in a white coat speaks to a woman in a green coat while waiting for a train .,,,,,,,,,| A woman wearing a green coat , and a woman in a tan coat waiting for the subway .,,,,,,,,| A group of woman discussing the artwork as they wait for the train .,,,,,,,,,| People stand on a subway platform waiting for their train .,,,,,,,,,| Two women are talking in a subway area .,,,,,,,,,
.\datasets\images\241046599.jpg| a small brown dog is running across the grass wearing a purple and green coat .,,,,,,,,,| Brown dog , with green and purple cape , runs on grass .,,,,,,,| A miniature dachshund has an apron on its back .,,,,,,,,,| A small dog wearing a purple and green cape,,,,,,,,,| The dog is wearing a purple cape .,,,,,,,,,
.\datasets\images\2412390588.jpg| A child in a red longsleeve shirt is pointing at the red tulips .,,,,,,,,,| A child in a red jacket is pointing at beautiful orange flowers .,,,,,,,,,| The child in the red jacket is looking at the flowers .,,,,,,,,,| A boy in a red jacket points at red tulips .,,,,,,,,,| A boy in red is pointing to a red tulip .,,,,,,,,,
.\datasets\images\241345721.jpg| The American footballer wearing red is pushing the player in white to the ground .,,,,,,,,,| one football player in a red jersey jumping onto a player wearing a white jersey,,,,,,,,,| Two football players bang into each other during a football game .,,,,,,,,,| A man tackles another man while playing football .,,,,,,,,,| Men playing football .,,,,,,,,,
.\datasets\images\241345864.jpg| The cheerleader in red and white is sitting on the knee of a man also wearing red and white .,,,,,,,,,| A female cheerleader sits on the knee of a male cheerleader .,,,,,,,,,| A boy cheerleader has a girl cheerleader on his knee .,,,,,,,,,| Two cheerleaders are sitting at a football game .,,,,,,,,,| cheerleaders taking a break,,,,,,,,,
.\datasets\images\241345942.jpg| The football player in white is defending against the player in red who is running with the ball .,,,,,,,,,| The football player in red keeps the football away from the player in purple and white .,,,,,,,,,| One football player tries to tackle a player on the opposing team .,,,,,,,,,| A man in a Sooners jersey blocks an attempted UW tackle .,,,,,,,,,| A football player is trying to tackle another one .,,,,,,,,,
.\datasets\images\241346105.jpg| An American footballer in a red strip is running down the side of the field with the ball .,,,,,,,,,| A football player runs along the sidelines with a football as a crowd watches .,,,,,,,,,| The football player is running with a football trying to score .,,,,,,,,,| The football player is trying to outrun his opponent .,,,,,,,,,| A college football game is in progress .,,,,,,,,,
.\datasets\images\241346146.jpg| A football player from the Sooners is about to be taken down by the opposing team in a game .,,,,,,,,,| The football player is running with the ball as a player of the opposing team grabs his leg,,,,,,,,,| The Sooner football player carrying the ball is trying to avoid being tackled .,,,,,,,,,| An Sooners football player eluding the tackle of two Huskies defenders .,,,,,,,,,| A football player tries tackling another player who has the ball .,,,,,,,,,
.\datasets\images\241346215.jpg| A horse mascot gives high-fives to some football fans .,,,,,,,,,| A mascot at a sporting event waves to the crowd .,,,,,,,,,| A horse mascot stands in front of several kids .,,,,,,,,,| A team mascot raising its hands toward people .,,,,,,,,,| Oklahoma horse mascot in a sea of red fans,,,,,,,,,
.\datasets\images\241346434.jpg| An African-American football player , wearing jersey number 12 for the University of Oklahoma , throws a football to his left .,,,,,,,| On a football field , there is a player in a red jersey and the crowd is behind him .,,,,,,,,| A football player is in action among other players .,,,,,,,,,| Several football players in a stadium,,,,,,,,,| a football player points .,,,,,,,,,
.\datasets\images\241346794.jpg| a large group of football players about to start a game with a large group watching,,,,,,,,,| Two football teams lined up before the hike .,,,,,,,,,| A bunch of football players , and a crowd .,,,,,,,,| Two football teams at the line of scrimmage,,,,,,,,,| A football game .,,,,,,,,,
